Date,Open,High,Low,Close,Adj Close,Volume
2022-03-09,331.750000,336.380005,329.089996,334.989990,330.257507,64723400
2022-03-10,330.820007,332.510010,326.709991,331.269989,326.590027,69362700
2022-03-11,334.320007,334.640015,323.899994,324.399994,319.817047,66228400
2022-03-14,323.130005,326.589996,317.450012,318.170013,313.675079,79802600
2022-03-15,320.880005,328.950012,319.230011,328.149994,323.514069,76471000
2022-03-16,332.170013,340.440002,328.399994,340.320007,335.512177,105243000
2022-03-17,338.369995,344.500000,337.040009,344.440002,339.573944,67810000
2022-03-18,342.739990,351.790009,341.549988,351.489990,346.524384,85446300
2022-03-21,350.200012,352.480011,345.579987,350.079987,345.561005,73799100
2022-03-22,350.589996,357.850006,350.200012,356.959991,352.352173,63345900
2022-03-23,354.010010,357.660004,351.769989,351.829987,347.288391,70615500
2022-03-24,353.799988,359.700012,351.589996,359.649994,355.007477,53555300
2022-03-25,359.589996,360.670013,354.940002,359.350006,354.711304,57584200
2022-03-28,359.339996,365.010010,358.070007,364.910004,360.199554,56833900
2022-03-29,368.899994,371.829987,366.059998,371.190002,366.398499,68073000
2022-03-30,369.279999,370.980011,365.570007,367.089996,362.351410,68757700
2022-03-31,367.239990,367.600006,361.679993,362.540009,357.860138,67011400
2022-04-01,362.809998,363.609985,358.589996,361.850006,357.179077,54527800
2022-04-04,362.709991,369.309998,362.440002,369.299988,364.532867,45950200
2022-04-05,367.809998,368.540009,359.929993,361.100006,356.438751,62738700
2022-04-06,355.649994,356.779999,350.559998,353.260010,348.699951,90077100
2022-04-07,352.239990,356.350006,348.690002,354.100006,349.529114,63777400
2022-04-08,352.320007,353.089996,348.500000,349.149994,344.642975,61956100
2022-04-11,344.809998,345.750000,340.540009,340.890015,336.489624,66107400
2022-04-12,345.760010,347.690002,338.040009,339.450012,335.068268,72790200
2022-04-13,339.799988,347.429993,339.059998,346.350006,341.879150,61367800
2022-04-14,346.440002,346.970001,338.209991,338.429993,334.061340,73519400
2022-04-18,337.350006,341.040009,335.790009,338.690002,334.318054,58560600
2022-04-19,338.029999,346.850006,336.980011,346.260010,341.790283,56515700
2022-04-20,347.089996,347.559998,339.959991,341.209991,336.805481,65500000
2022-04-21,345.190002,347.869995,333.200012,334.149994,329.836639,75801000
2022-04-22,334.309998,335.559998,324.959991,325.399994,321.199493,82562100
2022-04-25,323.730011,329.899994,322.429993,329.579987,325.325592,101755900
2022-04-26,327.470001,327.660004,316.859985,317.140015,313.046265,105819600
2022-04-27,317.239990,322.880005,315.000000,316.760010,312.671143,111204200
2022-04-28,321.850006,329.890015,317.519989,328.010010,323.775909,99450000
2022-04-29,323.700012,327.230011,312.600006,313.250000,309.206421,91977900
2022-05-02,312.829987,318.720001,309.649994,318.480011,314.368927,115511800
2022-05-03,318.500000,321.170013,315.980011,318.820007,314.704468,78185500
2022-05-04,319.309998,330.290009,313.890015,329.600006,325.345367,116083400
2022-05-05,325.170013,325.250000,309.619995,313.000000,308.959656,154607400
2022-05-06,310.950012,315.089996,305.109985,309.250000,305.258026,139572800
2022-05-09,303.480011,309.350006,295.720001,297.149994,293.314209,113387300
2022-05-10,304.510010,305.760010,296.570007,300.760010,296.877625,124124600
2022-05-11,298.440002,304.089996,290.950012,291.839996,288.072784,140326100
2022-05-12,287.450012,295.750000,284.940002,291.149994,287.391663,120910900
2022-05-13,295.720001,303.000000,294.079987,301.940002,298.042419,83684900
2022-05-16,300.149994,302.260010,297.130005,298.440002,294.587585,59190400
2022-05-17,304.450012,306.559998,300.549988,306.170013,302.217804,62715300
2022-05-18,301.540009,302.250000,289.850006,291.140015,287.381836,79477100
2022-05-19,289.290009,294.390015,287.579987,289.579987,285.841919,79920700
2022-05-20,293.130005,293.799988,280.209991,288.679993,284.953583,91764200
2022-05-23,289.750000,293.869995,287.290009,293.480011,289.691620,63648400
2022-05-24,288.130005,288.859985,282.250000,287.239990,283.532196,73491100
2022-05-25,285.709991,293.390015,285.500000,291.260010,287.500275,67144500
2022-05-26,290.440002,300.920013,290.149994,299.329987,295.466064,59462200
2022-05-27,302.540009,309.250000,302.420013,309.100006,305.109985,66985600
2022-05-31,309.070007,311.329987,304.329987,308.279999,304.300537,60968300
2022-06-01,310.470001,312.649994,303.730011,306.000000,302.049957,65341700
2022-06-02,304.850006,314.559998,303.399994,314.380005,310.321777,59291300
2022-06-03,309.029999,310.470001,304.920013,306.200012,302.247467,60914700
2022-06-06,310.750000,312.350006,305.619995,307.220001,303.254242,51785000
2022-06-07,303.809998,310.670013,302.690002,309.869995,305.870026,44900300
2022-06-08,309.049988,311.720001,306.769989,307.640015,303.668823,38342100
2022-06-09,305.910004,309.049988,299.230011,299.399994,295.535156,55900500
2022-06-10,293.649994,294.869995,288.380005,288.839996,285.111450,85963500
2022-06-13,279.750000,282.339996,274.529999,275.410004,271.854828,94442000
2022-06-14,277.660004,278.660004,273.339996,275.910004,272.348419,64697500
2022-06-15,279.420013,286.829987,276.609985,282.799988,279.149414,86051400
2022-06-16,275.589996,276.059998,269.279999,271.390015,267.886780,81910300
2022-06-17,272.179993,277.190002,270.510010,274.690002,271.144135,82703400
2022-06-21,278.750000,283.450012,278.640015,281.079987,277.985016,51633700
2022-06-22,278.519989,285.179993,277.910004,280.670013,277.579559,67472900
2022-06-23,283.209991,285.720001,280.309998,284.850006,281.713470,57457800
2022-06-24,287.739990,295.040009,287.500000,294.609985,291.366028,58422300
2022-06-27,296.000000,296.579987,291.290009,292.450012,289.229828,54151500
2022-06-28,293.000000,295.649994,283.350006,283.540009,280.417938,61609800
2022-06-29,283.399994,285.339996,280.839996,283.799988,280.675049,57302700
2022-06-30,280.750000,283.940002,275.779999,280.279999,277.193756,79313600
2022-07-01,278.950012,282.529999,277.029999,282.130005,279.023468,56675100
2022-07-05,278.309998,287.079987,276.750000,286.959991,283.800262,61829300
2022-07-06,287.350006,290.950012,285.589996,288.799988,285.619995,63194700
2022-07-07,289.630005,295.700012,289.630005,294.980011,291.731995,56620100
2022-07-08,292.079987,296.750000,291.119995,295.350006,292.097900,59895500
2022-07-11,292.880005,293.109985,288.140015,289.040009,285.857361,55273900
2022-07-12,290.320007,292.279999,284.609985,286.239990,283.088165,55797100
2022-07-13,280.600006,288.049988,280.019989,285.649994,282.504669,73939400
2022-07-14,282.989990,287.559998,279.799988,286.670013,283.513489,63741800
2022-07-15,289.730011,291.980011,288.079987,291.869995,288.656219,63818100
2022-07-18,294.720001,296.160004,288.200012,289.399994,286.213379,59519600
2022-07-19,293.109985,298.600006,291.470001,298.299988,295.015381,55172600
2022-07-20,298.730011,304.239990,297.929993,303.029999,299.693359,67769400
2022-07-21,303.500000,307.440002,300.779999,307.380005,303.995422,55049400
2022-07-22,306.429993,308.549988,300.119995,301.989990,298.664734,57127700
2022-07-25,302.019989,302.500000,298.220001,300.269989,296.963684,40582400
2022-07-26,298.529999,298.790009,293.540009,294.369995,291.128632,50074100
2022-07-27,299.040009,308.540009,298.459991,306.809998,303.431702,69304400
2022-07-28,306.589996,310.399994,302.750000,309.809998,306.398621,55139900
2022-07-29,311.390015,316.390015,309.929993,315.459991,311.986450,57501000
2022-08-01,313.649994,318.809998,312.529999,315.269989,311.798523,46358800
2022-08-02,312.920013,318.549988,311.839996,314.329987,310.868896,48676500
2022-08-03,316.049988,323.730011,315.989990,322.890015,319.334595,53735700
2022-08-04,322.970001,324.720001,320.769989,324.399994,320.828003,38973700
2022-08-05,319.190002,323.829987,318.390015,321.750000,318.207214,53894000
2022-08-08,322.690002,326.470001,319.209991,320.709991,317.178619,43878500
2022-08-09,318.769989,319.029999,315.420013,317.079987,313.588562,39764200
2022-08-10,324.589996,326.230011,322.059998,325.929993,322.341095,51459600
2022-08-11,328.309998,330.359985,323.359985,324.079987,320.511536,45897700
2022-08-12,326.179993,330.589996,325.100006,330.390015,326.752075,40928400
2022-08-15,329.420013,333.570007,329.399994,333.059998,329.392639,38266600
2022-08-16,332.059998,334.420013,329.160004,332.279999,328.621216,41186900
2022-08-17,329.070007,331.429993,326.359985,328.489990,324.872986,47842200
2022-08-18,328.440002,330.489990,326.790009,329.279999,325.654236,41937200
2022-08-19,326.170013,326.839996,322.079987,322.859985,319.304993,51770600
2022-08-22,318.500000,318.739990,313.529999,314.359985,310.898499,51098900
2022-08-23,314.119995,317.000000,313.329987,314.100006,310.641449,39497100
2022-08-24,313.609985,316.869995,312.989990,315.010010,311.541382,38057100
2022-08-25,316.829987,320.600006,315.760010,320.579987,317.050049,38098300
2022-08-26,320.279999,321.510010,307.350006,307.440002,304.054749,69047700
2022-08-29,304.619995,307.220001,303.279999,304.410004,301.058136,48321900
2022-08-30,306.100006,306.730011,298.440002,301.019989,297.705475,51184500
2022-08-31,303.989990,304.910004,299.160004,299.269989,295.974731,50044000
2022-09-01,296.720001,299.779999,292.950012,299.399994,296.103241,57990700
2022-09-02,302.339996,303.750000,293.519989,295.170013,291.919861,64666800
2022-09-06,295.660004,296.600006,290.869995,293.049988,289.823242,57005400
2022-09-07,293.540009,299.989990,293.269989,298.970001,295.678009,49260400
2022-09-08,296.850006,301.869995,295.450012,300.519989,297.210938,55649800
2022-09-09,302.829987,307.600006,300.519989,307.089996,303.708618,56125200
2022-09-12,308.500000,311.079987,308.179993,310.739990,307.318420,45905700
2022-09-13,301.799988,303.019989,292.790009,293.700012,290.466064,79562200
2022-09-14,294.869995,296.929993,293.059998,296.029999,292.770386,54907200
2022-09-15,294.070007,296.529999,289.459991,291.100006,287.894684,65299400
2022-09-16,287.720001,289.720001,285.619995,289.320007,286.134247,79920400
2022-09-19,286.100006,291.209991,286.040009,291.049988,288.362488,52613800
2022-09-20,288.489990,291.070007,286.380005,288.730011,286.063934,51271100
2022-09-21,289.589996,293.950012,283.420013,283.559998,280.941711,82931000
2022-09-22,282.000000,283.029999,278.820007,280.070007,277.483856,62757100
2022-09-23,277.549988,277.850006,272.019989,275.510010,272.966003,74815200
2022-09-26,275.029999,279.489990,273.559998,274.369995,271.836517,71176700
2022-09-27,277.809998,280.209991,272.109985,274.480011,271.945526,69780100
2022-09-28,274.459991,281.250000,272.950012,279.940002,277.355133,79652100
2022-09-29,275.859985,276.250000,268.839996,271.869995,269.359619,81216000
2022-09-30,271.029999,275.190002,267.100006,267.260010,264.792175,78482400
2022-10-03,269.070007,275.160004,267.529999,273.529999,271.004272,61267400
2022-10-04,278.989990,282.850006,278.989990,282.130005,279.524902,66696900
2022-10-05,278.279999,283.809998,275.420013,281.980011,279.376282,55766300
2022-10-06,280.959991,284.179993,279.429993,279.760010,277.176758,53489400
2022-10-07,275.019989,275.149994,267.739990,269.100006,266.615173,71354700
2022-10-10,269.299988,269.700012,263.640015,266.410004,263.950012,60393000
2022-10-11,264.700012,267.630005,261.029999,262.750000,260.323853,66522500
2022-10-12,263.399994,265.359985,261.950012,262.660004,260.234680,50580200
2022-10-13,255.160004,270.170013,254.259995,268.820007,266.337799,112894100
2022-10-14,271.200012,271.809998,260.140015,260.739990,258.332336,77244300
2022-10-17,266.839996,270.239990,266.739990,269.350006,266.862854,64576500
2022-10-18,276.529999,277.209991,268.739990,271.480011,268.973175,69781000
2022-10-19,269.929993,273.679993,268.070007,270.489990,267.992310,53115400
2022-10-20,269.579987,274.839996,267.920013,269.109985,266.625122,60605500
2022-10-21,267.980011,275.970001,266.820007,275.420013,272.876862,77897700
2022-10-24,275.690002,279.399994,271.970001,278.450012,275.878845,63963600
2022-10-25,279.410004,284.600006,277.899994,284.209991,281.585663,59014500
2022-10-26,278.459991,283.980011,277.429993,277.929993,275.363647,63492400
2022-10-27,276.790009,278.279999,272.339996,272.869995,270.350342,57760300
2022-10-28,272.230011,281.700012,272.059998,281.220001,278.623260,62651300
2022-10-31,278.920013,279.760010,275.989990,277.950012,275.383484,47742000
2022-11-01,281.500000,282.070007,274.739990,275.109985,272.569672,45895900
2022-11-02,275.079987,278.209991,265.609985,265.679993,263.226746,79803100
2022-11-03,263.010010,264.500000,260.100006,260.489990,258.084686,70038900
2022-11-04,265.529999,266.609985,259.079987,264.679993,262.235962,78313200
2022-11-07,265.750000,268.140015,263.570007,267.589996,265.119171,47333800
2022-11-08,269.140015,272.850006,265.519989,269.540009,267.051117,63213800
2022-11-09,267.760010,268.559998,263.029999,263.320007,260.888580,64862100
2022-11-10,276.010010,283.049988,273.850006,282.750000,280.139130,99256700
2022-11-11,282.559998,288.640015,281.190002,287.959991,285.301086,66961800
2022-11-14,285.859985,289.209991,284.440002,285.440002,282.804352,55290700
2022-11-15,292.209991,293.260010,285.970001,289.390015,286.717834,73985400
2022-11-16,287.390015,289.480011,284.600006,285.440002,282.804352,48859800
2022-11-17,280.880005,286.320007,280.720001,284.809998,282.180145,55462100
2022-11-18,287.890015,287.989990,282.320007,284.820007,282.190002,53588600
2022-11-21,283.399994,284.579987,281.040009,281.890015,279.287079,40083500
2022-11-22,282.640015,286.109985,280.459991,285.950012,283.309631,41873400
2022-11-23,285.970001,289.459991,285.790009,288.820007,286.153076,46390000
2022-11-25,287.190002,287.910004,286.420013,286.920013,284.270599,15498800
2022-11-28,284.899994,286.959991,281.760010,282.709991,280.099487,38714200
2022-11-29,282.940002,283.350006,279.170013,280.570007,277.979279,35618900
2022-11-30,280.839996,293.470001,279.970001,293.359985,290.651154,74718100
2022-12-01,293.690002,295.750000,290.880005,293.720001,291.007843,51547300
2022-12-02,288.540009,293.450012,288.359985,292.549988,289.848633,53583200
2022-12-05,290.380005,291.679993,286.149994,287.640015,284.984009,41482100
2022-12-06,287.480011,287.619995,280.260010,281.679993,279.079010,53937600
2022-12-07,280.470001,282.570007,278.779999,280.529999,277.939636,45614300
2022-12-08,281.910004,284.839996,279.790009,283.850006,281.229004,42594900
2022-12-09,282.809998,285.640015,281.589996,282.040009,279.435730,47860500
2022-12-12,282.220001,285.640015,281.160004,285.579987,282.942993,35732500
2022-12-13,296.649994,296.880005,285.910004,288.649994,285.984680,80667700
2022-12-14,288.049988,291.410004,283.190002,286.510010,283.864410,64984400
2022-12-15,282.329987,283.010010,275.670013,276.890015,274.333282,60554100
2022-12-16,276.200012,277.769989,272.609985,274.250000,271.717651,68300400
2022-12-19,273.869995,273.959991,268.489990,269.750000,267.899017,44167900
2022-12-20,268.559998,271.320007,266.950012,269.540009,267.690460,51064200
2022-12-21,270.600006,274.779999,269.739990,273.450012,271.573639,46394700
2022-12-22,270.380005,270.510010,262.459991,266.760010,264.929535,60278400
2022-12-23,265.470001,268.040009,263.529999,267.359985,265.525391,39373600
2022-12-27,266.739990,266.850006,263.029999,263.579987,261.771332,38009000
2022-12-28,263.170013,265.470001,259.730011,260.100006,258.315247,47139000
2022-12-29,262.959991,267.399994,262.250000,266.440002,264.611725,45893600
2022-12-30,263.619995,266.410004,262.290009,266.279999,264.452881,37858300
2023-01-03,268.649994,270.149994,262.130005,264.480011,262.665192,42335300
2023-01-04,266.640015,267.450012,262.529999,265.739990,263.916534,47754900
2023-01-05,264.040009,264.209991,261.260010,261.579987,259.785034,45396700
2023-01-06,263.350006,269.940002,260.339996,268.799988,266.955536,54659700
2023-01-09,270.829987,275.290009,269.920013,270.540009,268.683624,45568700
2023-01-10,269.489990,272.940002,268.970001,272.829987,270.957855,35247800
2023-01-11,273.920013,277.660004,273.119995,277.549988,275.645477,44077000
2023-01-12,278.119995,280.100006,273.739990,279.049988,277.135193,60600000
2023-01-13,276.500000,281.220001,276.160004,280.970001,279.042053,44802900
2023-01-17,280.769989,282.850006,279.579987,281.540009,279.608124,36269700
2023-01-18,283.109985,284.690002,277.670013,277.880005,275.973236,47754500
2023-01-19,276.220001,277.380005,273.890015,275.149994,273.261932,44150400
2023-01-20,276.790009,283.019989,275.709991,282.679993,280.740295,60613600
2023-01-23,283.540009,290.209991,282.730011,288.959991,286.977173,52799900
2023-01-24,287.309998,289.549988,286.779999,288.369995,286.391235,44875100
2023-01-25,283.769989,288.359985,281.179993,287.730011,285.755676,50872000
2023-01-26,291.220001,293.519989,288.519989,293.339996,291.327179,51596300
2023-01-27,292.000000,298.260010,291.880005,296.260010,294.227142,56441900
2023-01-30,292.929993,294.380005,289.890015,290.269989,288.278198,49405800
2023-01-31,290.309998,294.720001,290.200012,294.619995,292.598358,46705100
2023-02-01,294.410004,303.429993,292.299988,300.920013,298.855133,67562200
2023-02-02,307.570007,313.679993,306.730011,311.720001,309.581024,83070600
2023-02-03,304.940002,312.390015,304.540009,306.179993,304.079041,76170800
2023-02-06,303.510010,305.910004,302.220001,303.589996,301.506805,40802300
2023-02-07,303.459991,311.029999,302.320007,309.880005,307.753662,67584000
2023-02-08,308.540009,309.500000,303.670013,304.369995,302.281464,56720900
2023-02-09,308.839996,308.989990,300.200012,301.679993,299.609924,49137800
2023-02-10,299.480011,301.570007,297.250000,299.700012,297.643555,50050100
2023-02-13,301.130005,305.100006,299.929993,304.500000,302.410583,39636700
2023-02-14,302.890015,307.720001,300.910004,306.750000,304.645142,64079100
2023-02-15,304.899994,309.269989,304.200012,309.100006,306.979004,43100600
2023-02-16,304.380005,308.429993,303.149994,303.299988,301.218781,59498600
2023-02-17,301.070007,301.929993,298.100006,301.160004,299.093475,58230700
2023-02-21,297.260010,298.730011,293.890015,294.029999,292.012421,46526700
2023-02-22,294.619995,296.359985,292.559998,294.250000,292.230896,51389200
2023-02-23,297.970001,298.130005,292.549988,296.820007,294.783295,69294400
2023-02-24,291.760010,292.970001,290.049988,291.850006,289.847382,74332000
2023-02-27,295.070007,296.489990,293.339996,293.940002,291.923035,48995000
2023-02-28,293.299988,296.119995,292.959991,293.559998,291.545593,48243100
2023-03-01,293.260010,293.929993,290.200012,291.200012,289.201813,58287000
2023-03-02,288.660004,294.429993,288.369995,293.609985,291.595276,53565900
2023-03-03,295.390015,299.920013,294.869995,299.679993,297.623657,60511500
2023-03-06,300.940002,304.000000,299.820007,300.019989,297.961273,56736300
2023-03-07,300.070007,301.010010,295.720001,296.339996,294.306549,65955800
2023-03-08,296.769989,298.429993,294.880005,297.820007,295.776428,50876300
2023-03-09,298.329987,300.980011,291.829987,292.660004,290.651825,71456700
2023-03-10,292.829987,294.350006,287.380005,288.549988,286.570007,98593600
2023-03-13,286.730011,294.470001,285.190002,290.690002,288.695313,97123600
2023-03-14,294.309998,297.929993,293.450012,297.369995,295.329498,73602500
2023-03-15,294.709991,299.269989,293.239990,298.929993,296.878784,83631500
2023-03-16,298.000000,307.179993,297.190002,306.809998,304.704742,98198100
2023-03-17,306.720001,309.149994,303.369995,305.359985,303.264679,89923700
2023-03-20,304.260010,306.299988,302.010010,305.970001,304.340912,56359500
2023-03-21,307.940002,310.799988,306.399994,310.339996,308.687683,49757000
2023-03-22,310.269989,315.250000,305.950012,306.119995,304.490112,75791900
2023-03-23,309.920013,314.149994,307.010010,309.750000,308.100800,74576000
2023-03-24,309.320007,310.989990,306.950012,310.890015,309.234741,57195200
2023-03-27,311.600006,312.700012,307.890015,308.760010,307.116089,50287400
2023-03-28,308.170013,308.200012,304.769989,307.119995,305.484802,48585900
2023-03-29,310.880005,313.350006,310.049988,312.720001,311.054993,53274300
2023-03-30,315.239990,316.320007,312.809998,315.679993,313.999207,58354800
2023-03-31,315.910004,321.170013,315.600006,320.929993,319.221252,62138100
2023-04-03,318.769989,320.420013,317.420013,320.149994,318.445404,47126800
2023-04-04,320.600006,321.630005,317.829987,319.070007,317.371155,45875400
2023-04-05,318.100006,319.059998,314.070007,315.920013,314.237946,62795700
2023-04-06,314.239990,318.549988,312.820007,318.049988,316.356567,46916500
2023-04-10,315.070007,317.920013,313.250000,317.869995,316.177551,45134700
2023-04-11,317.829987,317.890015,315.309998,315.829987,314.148407,40113600
2023-04-12,317.820007,318.420013,312.570007,313.040009,311.373291,62813300
2023-04-13,314.829987,319.649994,313.630005,319.170013,317.470642,54613800
2023-04-14,317.589996,320.359985,315.609985,318.570007,316.873840,56278300
2023-04-17,318.149994,319.200012,316.040009,318.839996,317.142365,43007000
2023-04-18,320.989990,321.420013,317.640015,318.859985,317.162292,46746900
2023-04-19,316.410004,319.790009,316.279999,318.709991,317.013062,38960100
2023-04-20,315.690002,319.269989,314.970001,316.279999,314.596008,62462100
2023-04-21,315.910004,317.399994,314.100006,316.609985,314.924255,59002300
2023-04-24,316.380005,317.739990,313.739990,315.950012,314.267792,44043100
2023-04-25,314.290009,314.970001,309.890015,309.989990,308.339508,57121600
2023-04-26,313.440002,314.940002,311.339996,311.869995,310.209473,55400500
2023-04-27,315.700012,320.859985,315.049988,320.350006,318.644379,65430400
2023-04-28,320.109985,322.649994,318.959991,322.559998,320.842590,59652500
2023-05-01,322.089996,323.630005,321.089996,322.190002,320.474548,41013400
2023-05-02,322.119995,322.450012,317.609985,319.380005,317.679504,56519400
2023-05-03,319.750000,322.470001,317.179993,317.290009,315.600616,59882100
2023-05-04,317.059998,318.230011,315.119995,316.170013,314.486664,50224500
2023-05-05,318.470001,323.760010,316.209991,322.890015,321.170807,51776000
2023-05-08,322.420013,324.040009,321.320007,323.690002,321.966583,36465800
2023-05-09,322.000000,322.880005,321.320007,321.640015,319.927490,31768800
2023-05-10,324.119995,326.010010,321.600006,325.140015,323.408875,60446600
2023-05-11,325.700012,326.750000,324.119995,326.200012,324.463196,44278500
2023-05-12,326.739990,327.170013,322.940002,325.029999,323.299469,48396200
2023-05-15,325.510010,327.029999,323.959991,326.790009,325.050110,33375600
2023-05-16,326.059998,328.899994,326.019989,327.160004,325.418091,40019200
2023-05-17,328.239990,331.709991,327.040009,331.119995,329.356964,47486100
2023-05-18,331.519989,337.489990,331.500000,337.269989,335.474243,64213500
2023-05-19,337.489990,338.209991,335.429993,336.510010,334.718323,61462400
2023-05-22,336.250000,338.670013,336.239990,337.640015,335.842346,43015900
2023-05-23,335.890015,337.059998,333.000000,333.359985,331.585052,48216700
2023-05-24,331.369995,332.910004,329.559998,331.649994,329.884155,62891200
2023-05-25,339.140015,341.010010,336.670013,339.720001,337.911194,66862800
2023-05-26,340.760010,349.250000,340.660004,348.399994,346.544983,63007000
2023-05-30,352.709991,353.929993,348.529999,349.980011,348.116608,72652200
2023-05-31,348.369995,350.600006,346.510010,347.989990,346.137177,65105400
2023-06-01,347.730011,353.359985,346.660004,352.010010,350.135803,50488600
2023-06-02,353.799988,355.829987,352.010010,354.649994,352.761749,53293500
2023-06-05,354.429993,357.500000,353.850006,354.899994,353.010376,47266200
2023-06-06,354.279999,355.820007,352.929993,354.839996,352.950714,41390400
2023-06-07,355.130005,357.119995,348.179993,348.820007,346.962769,69225900
2023-06-08,349.119995,353.619995,348.890015,353.149994,351.269714,47153900
2023-06-09,354.630005,357.660004,353.029999,354.500000,352.612518,53155900
2023-06-12,356.190002,360.589996,355.200012,360.489990,358.570618,44606500
2023-06-13,363.290009,364.109985,360.029999,363.260010,361.325867,57097800
2023-06-14,363.269989,366.190002,360.420013,365.899994,363.951813,69525600
2023-06-15,364.609985,371.769989,363.980011,370.260010,368.288605,71138800
2023-06-16,372.720001,372.850006,367.480011,367.929993,365.971008,80875900
2023-06-20,365.950012,368.320007,363.890015,366.899994,365.447113,49204700
2023-06-21,365.739990,366.179993,360.959991,361.899994,360.466919,53378300
2023-06-22,360.630005,366.329987,360.220001,366.170013,364.720001,47603000
2023-06-23,362.209991,364.880005,360.820007,362.540009,361.104370,48873900
2023-06-26,362.000000,364.839996,357.589996,357.679993,356.263611,52685500
2023-06-27,359.250000,364.570007,358.510010,363.829987,362.389252,49428100
2023-06-28,361.980011,366.519989,361.899994,364.540009,363.096466,46498000
2023-06-29,364.239990,364.890015,362.140015,363.809998,362.369324,46151000
2023-06-30,367.549988,370.489990,367.230011,369.420013,367.957123,58668800
2023-07-03,370.070007,370.929993,368.970001,370.290009,368.823700,19432900
2023-07-05,368.700012,372.010010,368.660004,370.279999,368.813721,34460900
2023-07-06,366.510010,367.910004,364.519989,367.459991,366.004883,49374700
2023-07-07,367.230011,370.480011,366.010010,366.239990,364.789734,47083200
2023-07-10,365.959991,367.049988,363.410004,366.359985,364.909241,48498800
2023-07-11,366.790009,368.630005,364.619995,368.170013,366.712097,38214100
2023-07-12,372.339996,374.190002,370.299988,372.820007,371.343658,61975400
2023-07-13,376.049988,379.989990,375.459991,379.149994,377.648590,46960000
2023-07-14,379.589996,382.859985,378.179993,379.070007,377.568909,55097800
2023-07-17,379.799988,383.500000,379.309998,382.609985,381.094910,40868900
2023-07-18,381.959991,387.130005,380.000000,385.739990,384.212494,55343400
2023-07-19,386.820007,387.980011,384.299988,385.649994,384.122864,54093000
2023-07-20,382.609985,384.100006,375.720001,376.760010,375.268066,71941700
2023-07-21,379.179993,379.920013,375.190002,375.630005,374.142517,60439400
2023-07-24,376.619995,377.579987,374.339996,376.230011,374.740173,40380100
2023-07-25,376.950012,380.470001,376.929993,378.779999,377.280060,38894400
2023-07-26,377.720001,379.239990,375.179993,377.519989,376.025055,47075700
2023-07-27,383.070007,384.709991,375.309998,376.619995,375.128601,63940200
2023-07-28,380.739990,384.519989,380.220001,383.480011,381.961456,56902900
2023-07-31,383.790009,384.880005,382.339996,383.679993,382.160645,44019900
2023-08-01,382.309998,383.559998,380.690002,382.790009,381.274200,41060600
2023-08-02,379.260010,379.260010,373.130005,374.390015,372.907471,72687100
2023-08-03,371.940002,375.950012,371.769989,373.790009,372.309814,47666400
2023-08-04,375.750000,378.100006,371.529999,372.040009,370.566742,61646200
2023-08-07,373.880005,375.290009,371.510010,375.190002,373.704285,37230400
2023-08-08,372.640015,372.660004,368.820007,372.000000,370.526917,44726500
2023-08-09,372.290009,372.450012,367.140015,367.910004,366.453125,51150900
2023-08-10,370.970001,374.359985,367.040009,368.589996,367.130402,72035300
2023-08-11,365.989990,368.000000,364.690002,366.239990,364.789734,48683800
2023-08-14,365.429993,370.470001,364.700012,370.350006,368.883453,42130800
2023-08-15,369.359985,370.170013,365.739990,366.420013,364.969025,45539900
2023-08-16,365.869995,367.429993,362.440002,362.540009,361.104370,53190500
2023-08-17,363.959991,364.309998,358.160004,358.579987,357.160034,62604300
2023-08-18,355.260010,359.410004,354.709991,358.130005,356.711853,61119500
2023-08-21,359.619995,364.589996,359.149994,363.899994,362.458984,50696500
2023-08-22,366.549988,366.559998,362.679993,363.380005,361.941040,44613500
2023-08-23,364.579987,370.220001,364.359985,369.109985,367.648315,51770600
2023-08-24,372.640015,372.739990,361.010010,361.220001,359.789612,66842500
2023-08-25,362.070007,365.739990,358.579987,364.019989,362.578491,69960500
2023-08-28,366.989990,367.709991,364.250000,366.760010,365.307678,40910000
2023-08-29,366.559998,375.130005,366.230011,374.769989,373.285919,58492400
2023-08-30,374.880005,377.450012,373.859985,376.859985,375.367645,41731500
2023-08-31,376.940002,379.720001,376.869995,377.989990,376.493164,35730700
2023-09-01,380.399994,380.829987,376.079987,377.589996,376.094757,39772400
2023-09-05,376.769989,379.309998,375.829987,378.070007,376.572906,32344200
2023-09-06,377.279999,377.630005,372.700012,374.739990,373.256042,42998700
2023-09-07,370.209991,372.850006,369.149994,372.059998,370.586670,52060700
2023-09-08,372.010010,374.850006,371.600006,372.579987,371.104614,35800100
2023-09-11,375.660004,377.489990,373.660004,376.970001,375.477234,39936600
2023-09-12,375.269989,376.950012,372.500000,372.790009,371.313782,41391000
2023-09-13,373.029999,375.839996,371.880005,374.209991,372.728149,46300700
2023-09-14,375.989990,378.269989,373.890015,377.269989,375.776031,48039400
2023-09-15,375.910004,376.320007,369.859985,370.809998,369.341614,69757700
2023-09-18,369.320007,371.790009,369.029999,370.660004,369.726654,36903500
2023-09-19,369.320007,370.679993,366.799988,369.869995,368.938629,37621700
2023-09-20,370.950012,371.309998,364.459991,364.540009,363.622070,45514200
2023-09-21,360.799988,361.600006,357.690002,357.859985,356.958862,69584700
2023-09-22,359.630005,361.799988,357.589996,357.910004,357.008759,51589700
